Title,Company_name,Career_Level,Job_type,Location,Published,Link
Data Analyst,Cleopatra Cement ,Entry Level,Full Time,"Minya, Egypt ",15 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst,Othaim ,Entry Level,Full Time,"Katameya, Cairo, Egypt ",12 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst,Carina Wear ,Entry Level,Full Time,"New Cairo, Cairo, Egypt ",17 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Data Analyst,aliaict ,Entry Level,Full Time,"Nasr City, Cairo, Egypt ",18 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Data Analyst,New Horizons ,Entry Level,Full Time,"Maadi, Cairo, Egypt ",15 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Senior Business / Data Analyst,Confidential ,Entry Level,Full Time,"Riyadh, Saudi Arabia ",16 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst (Part Time),Veexia ,Entry Level,Full Time,"Heliopolis, Cairo, Egypt ",22 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst - 1-3 years exp.,Partner & More ,Entry Level,Full Time,"6th of October, Giza, Egypt ",24 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst,FlairsTech ,Entry Level,Full Time,"Maadi, Cairo, Egypt ",28 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst,Hands of Hope Physical Therapy & Wellness ,Entry Level,Full Time,"Maadi, Cairo, Egypt ",24 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
"Data Analyst, Egypt Impact Lab",National Institute for Governance and Development ,Entry Level,Full Time,"Nasr City, Cairo, Egypt ",29 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Data Analyst,ITCan ,Entry Level,Full Time,"New Cairo, Cairo, Egypt ",11 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
CRM Analyst,The IG Club ,Entry Level,Full Time,"Nasr City, Cairo, Egypt ",14 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Business Analyst,Egabi FSI ,Entry Level,Full Time,"Sheraton, Cairo, Egypt ",14 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
Business Analyst,Keys Group Services ,Entry Level,Full Time,"Nasr City, Cairo, Egypt ",16 days ,https://wuzzuf.net/jobs/p/eLzg49JqfEkJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=165&l=sp&t=sj&a=data analyst|search-v3|navbl
